Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Russian Federation,75,33,4868564,14,2001062,28,4033088,Medium Confidence,643,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2042
San Marino,123,84,2857,13,434,26,867,Low Confidence,674,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2172
Serbia,105,83,726196,16,137199,6,52633,Very Low Confidence,688,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2173
Slovakia,109,70,381273,13,69911,26,139538,Low Confidence,703,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2043
Slovenia,61,34,71107,7,13910,20,41741,Medium Confidence,705,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2174
Spain,116,77,3613954,13,598760,26,1195080,Low Confidence,724,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2175
Sweden,112,81,812948,10,100364,21,205746,High Confidence,752,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2129
Switzerland,125,72,615790,13,110067,40,343656,Low Confidence,756,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2253
Ukraine,120,76,3344904,16,688070,28,1216338,Very Low Confidence,804,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2044
United Kingdom,98,77,5199825,4,283627,17,1114248,High Confidence,826,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2130
