,Country,Food product,Production (tonnes)
225,Montenegro,Cassava,9130.38
226,Netherlands,Cassava,2269593.59
227,North Macedonia,Cassava,28069.91
228,Poland,Cassava,65124049.91
229,Portugal,Cassava,66846.29
230,Romania,Cassava,530616.16
231,Serbia,Cassava,76900.61
232,Slovakia,Cassava,870458.42
233,Slovenia,Cassava,867722.31
234,Spain,Cassava,134444.19
235,Sweden,Cassava,87249.1
236,Switzerland,Cassava,1206291.62
237,Ukraine,Cassava,139463.04
238,Albania,Sunflower,1956.86
239,Austria,Sunflower,10703.14
240,Belarus,Sunflower,459579.0
241,Belgium,Sunflower,1188598.45
242,Bosnia and Herzegovina,Sunflower,1506528.14
243,Bulgaria,Sunflower,131902.04
244,Croatia,Sunflower,232161.78
245,Czechia,Sunflower,39707.0
246,Denmark,Sunflower,687239.47
247,Estonia,Sunflower,114878.5
248,Finland,Sunflower,112343.0
249,France,Sunflower,11034.45
250,Germany,Sunflower,1627832.32
251,Greece,Sunflower,5614.27
252,Hungary,Sunflower,11706.18
253,Ireland,Sunflower,10726.08
254,Italy,Sunflower,2999138.64
255,Latvia,Sunflower,16918435.25
256,Lithuania,Sunflower,457414.78
257,Luxembourg,Sunflower,1014226.88
258,Malta,Sunflower,6640016.65
259,Montenegro,Sunflower,41035.72
260,Netherlands,Sunflower,49459.11
261,North Macedonia,Sunflower,287678.53
262,Poland,Sunflower,311005.92
263,Portugal,Sunflower,95693.59
264,Romania,Sunflower,35848.97
265,Serbia,Sunflower,15487.5
266,Slovakia,Sunflower,3310193.76
267,Slovenia,Sunflower,2643056.15
268,Spain,Sunflower,886279.39
269,Sweden,Sunflower,988458.4
270,Switzerland,Sunflower,455556.56
271,Ukraine,Sunflower,13001.58
272,Albania,Cane,867129471.36
273,Austria,Cane,1047138.55
274,Belarus,Cane,367045.45
275,Belgium,Cane,471026.17
276,Bosnia and Herzegovina,Cane,5197441.0
277,Bulgaria,Cane,64821603.27
278,Croatia,Cane,330192.06
279,Czechia,Cane,83182.51
280,Denmark,Cane,3499.18
281,Estonia,Cane,57408433.5
282,Finland,Cane,641700.0
283,France,Cane,5550623.18
284,Germany,Cane,31545.45
285,Greece,Cane,127021794.91
286,Hungary,Cane,48006991.36
287,Ireland,Cane,174450.0
288,Italy,Cane,123134864.55
289,Latvia,Cane,24962066.0
290,Lithuania,Cane,4906191.5
291,Luxembourg,Cane,37840.36
292,Malta,Cane,0.0
293,Montenegro,Cane,18311704.62
294,Netherlands,Cane,71132.51
295,North Macedonia,Cane,1312771.68
296,Poland,Cane,3374986.11
297,Portugal,Cane,37980756.85
298,Romania,Cane,60571600.3
299,Serbia,Cane,23973416.08
300,Slovakia,Cane,4006862.03
301,Slovenia,Cane,3839217.61
302,Spain,Cane,15790326.56
303,Sweden,Cane,962486.95
304,Switzerland,Cane,92598134.63
305,Ukraine,Cane,2116702.76
306,Albania,Soybean,41793471.41
307,Austria,Soybean,6836637.82
308,Belarus,Soybean,37864.18
309,Belgium,Soybean,107584.68
310,Bosnia and Herzegovina,Soybean,12599729.36
311,Bulgaria,Soybean,2497.47
312,Croatia,Soybean,5785663.0
313,Czechia,Soybean,1694.74
314,Denmark,Soybean,7197986.77
315,Estonia,Soybean,1375522.05
316,Finland,Soybean,8515.0
317,France,Soybean,221503.45
318,Germany,Soybean,11768.55
319,Greece,Soybean,135.82
320,Hungary,Soybean,1337.68
321,Ireland,Soybean,0.0
322,Italy,Soybean,1806346.89
323,Latvia,Soybean,96614.25
324,Lithuania,Soybean,11570.59
325,Luxembourg,Soybean,4505.95
326,Malta,Soybean,151500.0
327,Montenegro,Soybean,173254.03
328,Netherlands,Soybean,491502.08
329,North Macedonia,Soybean,338991.41
330,Poland,Soybean,12375.43
331,Portugal,Soybean,381888.28
332,Romania,Soybean,12328057.45
333,Serbia,Soybean,3236048.64
334,Slovakia,Soybean,1727387.55
335,Slovenia,Soybean,56125.93
336,Spain,Soybean,237980.86
337,Sweden,Soybean,5554238.75
338,Switzerland,Soybean,6755666.42
339,Ukraine,Soybean,1481.82
340,Albania,Rye,601430.64
341,Austria,Rye,13116.0
342,Belarus,Rye,12724.4
343,Belgium,Rye,4935.64
344,Bosnia and Herzegovina,Rye,333376.23
345,Bulgaria,Rye,89.96
346,Croatia,Rye,75261.19
347,Czechia,Rye,301023.8
348,Denmark,Rye,3835.41
349,Estonia,Rye,23054.0
350,Finland,Rye,2100.0
351,France,Rye,100600.18
352,Germany,Rye,415557.13
353,Greece,Rye,247958.55
354,Hungary,Rye,536045.45
355,Ireland,Rye,43331.4
356,Italy,Rye,1415670.1
357,Latvia,Rye,2808953.24
358,Lithuania,Rye,72904.18
359,Luxembourg,Rye,2200525.77
360,Malta,Rye,4338069.65
361,Montenegro,Rye,3566245.86
362,Netherlands,Rye,536384.67
363,North Macedonia,Rye,39803.29
364,Poland,Rye,2313754.8
365,Portugal,Rye,11363.95
366,Romania,Rye,741830.46
367,Serbia,Rye,0.0
368,Slovakia,Rye,1610631.6
369,Slovenia,Rye,1341477.85
370,Spain,Rye,3474521.34
371,Sweden,Rye,29185.28
372,Switzerland,Rye,263470.49
373,Ukraine,Rye,9936.62
374,Albania,Potatoes,208750.05
375,Austria,Potatoes,0.0
376,Belarus,Potatoes,819.5
377,Belgium,Potatoes,130.46
378,Bosnia and Herzegovina,Potatoes,14727.24
379,Bulgaria,Potatoes,4122193.53
380,Croatia,Potatoes,104.24
381,Czechia,Potatoes,34039.49
382,Denmark,Potatoes,18356209.11
383,Estonia,Potatoes,86647925.5
384,Finland,Potatoes,34166768.0
385,France,Potatoes,10025559.23
386,Germany,Potatoes,124594020.69
387,Greece,Potatoes,1578865.71
388,Hungary,Potatoes,10063.64
389,Ireland,Potatoes,187.75
390,Italy,Potatoes,11756323.17
391,Latvia,Potatoes,8076176.75
392,Lithuania,Potatoes,39164.76
393,Luxembourg,Potatoes,2638.68
394,Malta,Potatoes,1793695.3
395,Montenegro,Potatoes,253193.12
396,Netherlands,Potatoes,10642461.45
397,North Macedonia,Potatoes,20670.59
398,Poland,Potatoes,152.5
399,Portugal,Potatoes,2221.09
400,Romania,Potatoes,113273.82
401,Serbia,Potatoes,1351018.58
402,Slovakia,Potatoes,16124703.18
403,Slovenia,Potatoes,9373451.91
404,Spain,Potatoes,3155000.0
405,Sweden,Potatoes,1637.75
406,Switzerland,Potatoes,5985663.0
407,Ukraine,Potatoes,299264079.09
408,Albania,Oranges,6958.75
409,Austria,Oranges,29570.36
410,Belarus,Oranges,561.9
411,Belgium,Oranges,802783.15
412,Bosnia and Herzegovina,Oranges,12140.91
413,Bulgaria,Oranges,130286.67
414,Croatia,Oranges,92363.68
415,Czechia,Oranges,40436.78
416,Denmark,Oranges,6249083.95
417,Estonia,Oranges,680.88
418,Finland,Oranges,1739200.0
419,France,Oranges,377497.77
420,Germany,Oranges,1800626.55
421,Greece,Oranges,289709.09
422,Hungary,Oranges,53130.54
423,Ireland,Oranges,84375.0
424,Italy,Oranges,12596.08
425,Latvia,Oranges,34605.73
426,Lithuania,Oranges,14666419.23
427,Luxembourg,Oranges,319772.97
428,Malta,Oranges,270836.25
429,Montenegro,Oranges,765.31
430,Netherlands,Oranges,8546108.41
431,North Macedonia,Oranges,4434.19
432,Poland,Oranges,6932834.45
433,Portugal,Oranges,9440957.23
434,Romania,Oranges,187960.23
435,Serbia,Oranges,4608.38
436,Slovakia,Oranges,2429897.01
437,Slovenia,Oranges,196588.02
438,Spain,Oranges,2672054.36
439,Sweden,Oranges,28780.83
440,Switzerland,Oranges,2008467.5
441,Ukraine,Oranges,527353.25
442,Albania,Peas,4009518.28
443,Austria,Peas,797.61
444,Belarus,Peas,32630.77
445,Belgium,Peas,27315.06
446,Bosnia and Herzegovina,Peas,1090977.27
447,Bulgaria,Peas,5134.46
448,Croatia,Peas,285030.77
449,Czechia,Peas,4283.0
450,Denmark,Peas,674017.5
451,Estonia,Peas,249558.49
452,Finland,Peas,1253.0
453,France,Peas,10582.28
454,Germany,Peas,45573.82
455,Greece,Peas,435429.55
456,Hungary,Peas,154151.79
457,Ireland,Peas,43474.5
458,Italy,Peas,84665.23
459,Latvia,Peas,93089.0
460,Lithuania,Peas,629861.27
461,Luxembourg,Peas,47121.37
462,Malta,Peas,11057.2
463,Montenegro,Peas,2729.62
464,Netherlands,Peas,726547.63
465,North Macedonia,Peas,9499.17
466,Poland,Peas,401067.95
467,Portugal,Peas,105727.25
468,Romania,Peas,139578.76
469,Serbia,Peas,414895.39
470,Slovakia,Peas,1142284.21
471,Slovenia,Peas,993587.57
472,Spain,Peas,71420.89
473,Sweden,Peas,271429.75
474,Switzerland,Peas,1334467.78
475,Ukraine,Peas,195646.45
476,Albania,Palm,48954.55
477,Austria,Palm,176164.91
478,Belarus,Palm,46613.73
479,Belgium,Palm,174995.91
480,Bosnia and Herzegovina,Palm,59980.84
481,Bulgaria,Palm,2657.95
482,Croatia,Palm,759395.73
483,Czechia,Palm,465714.0
484,Denmark,Palm,117008.09
485,Estonia,Palm,29210.5
486,Finland,Palm,40100.0
487,France,Palm,9730911.23
488,Germany,Palm,30962.38
489,Greece,Palm,479584.35
490,Hungary,Palm,6680198.4
491,Ireland,Palm,122000.0
492,Italy,Palm,110649.2
493,Latvia,Palm,487167.25
494,Lithuania,Palm,1807363.9
495,Luxembourg,Palm,325920.72
496,Malta,Palm,43040.03
497,Montenegro,Palm,45678.0
498,Netherlands,Palm,112459.74
499,North Macedonia,Palm,111508.74
500,Poland,Palm,371619.57
501,Portugal,Palm,38516.78
502,Romania,Palm,2141661.25
503,Serbia,Palm,66218.82
504,Slovakia,Palm,371021.2
505,Slovenia,Palm,165306.11
506,Spain,Palm,196704.06
507,Sweden,Palm,18006.95
508,Switzerland,Palm,677499.81
509,Ukraine,Palm,33421.53
510,Albania,Berries,160889.32
511,Austria,Berries,8045.45
512,Belarus,Berries,1017700.91
513,Belgium,Berries,441226.18
514,Bosnia and Herzegovina,Berries,7423006.95
515,Bulgaria,Berries,51875.97
516,Croatia,Berries,706891.36
517,Czechia,Berries,1654092.73
518,Denmark,Berries,144862.23
519,Estonia,Berries,0.0
520,Finland,Berries,41312.0
521,France,Berries,273028.95
522,Germany,Berries,4118473.59
523,Greece,Berries,1945967.41
524,Hungary,Berries,83375.59
525,Ireland,Berries,409407.0
526,Italy,Berries,19809.59
527,Latvia,Berries,16328180.0
528,Lithuania,Berries,87217.91
529,Luxembourg,Berries,2339622.73
530,Malta,Berries,19827425.0
531,Montenegro,Berries,28962.5
532,Netherlands,Berries,2007045.29
533,North Macedonia,Berries,203252.32
534,Poland,Berries,9585667.93
535,Portugal,Berries,62881.84
536,Romania,Berries,1422543.33
537,Serbia,Berries,1422944.7
538,Slovakia,Berries,708257.5
539,Slovenia,Berries,511589.59
540,Spain,Berries,1368251.66
541,Sweden,Berries,1136886.0
542,Switzerland,Berries,1703823.74
543,Ukraine,Berries,41515.22
544,Albania,Coffee,9115.47
545,Austria,Coffee,14.38
546,Belarus,Coffee,34262.0
547,Belgium,Coffee,38796.42
548,Bosnia and Herzegovina,Coffee,83952.82
549,Bulgaria,Coffee,75700.0
550,Croatia,Coffee,4567.69
551,Czechia,Coffee,32507.74
552,Denmark,Coffee,178068.95
553,Estonia,Coffee,936096.78
554,Finland,Coffee,170633.44
555,France,Coffee,109660.72
556,Germany,Coffee,527.82
557,Greece,Coffee,3015.91
558,Hungary,Coffee,110133.95
559,Ireland,Coffee,0.0
560,Italy,Coffee,9.63
561,Latvia,Coffee,7.0
562,Lithuania,Coffee,52173.5
563,Luxembourg,Coffee,2565.72
564,Malta,Coffee,57662.75
565,Montenegro,Coffee,2887.34
566,Netherlands,Coffee,91951.19
567,North Macedonia,Coffee,225430.93
568,Poland,Coffee,81376.05
569,Portugal,Coffee,29349.86
570,Romania,Coffee,42804.56
571,Serbia,Coffee,93085.47
572,Slovakia,Coffee,40039.44
573,Slovenia,Coffee,30882.93
574,Spain,Coffee,350632.19
575,Sweden,Coffee,205030.65
576,Switzerland,Coffee,492379.16
577,Ukraine,Coffee,1297982.59
578,Albania,Cocoa,340.91
579,Austria,Cocoa,55633.96
580,Belarus,Cocoa,5324.05
581,Belgium,Cocoa,1055.59
582,Bosnia and Herzegovina,Cocoa,59897.44
583,Bulgaria,Cocoa,152183.03
584,Croatia,Cocoa,889932.18
585,Czechia,Cocoa,106851.56
586,Denmark,Cocoa,8106.18
587,Estonia,Cocoa,20050.0
588,Finland,Cocoa,100.0
589,France,Cocoa,1282.01
590,Germany,Cocoa,68521.63
591,Greece,Cocoa,471380.77
592,Hungary,Cocoa,1225.05
593,Ireland,Cocoa,25402.55
594,Italy,Cocoa,3633567.62
595,Latvia,Cocoa,96776.6
596,Lithuania,Cocoa,617832.29
597,Luxembourg,Cocoa,36468.98
598,Malta,Cocoa,28516.47
599,Montenegro,Cocoa,6052.94
600,Netherlands,Cocoa,76190.71
601,North Macedonia,Cocoa,8726.07
602,Poland,Cocoa,285316.11
603,Portugal,Cocoa,37049.87
604,Romania,Cocoa,73759.75
605,Serbia,Cocoa,4318.64
606,Slovakia,Cocoa,22815.34
607,Slovenia,Cocoa,4595.58
608,Spain,Cocoa,156256.85
609,Sweden,Cocoa,32277.0
610,Switzerland,Cocoa,1576.28
611,Ukraine,Cocoa,233251.91
612,Albania,Poultry,12140.84
613,Austria,Poultry,96785.59
614,Belarus,Poultry,3005.18
615,Belgium,Poultry,11102.41
616,Bosnia and Herzegovina,Poultry,20298.91
617,Bulgaria,Poultry,8558403.05
618,Croatia,Poultry,51.2
619,Czechia,Poultry,87193.86
620,Denmark,Poultry,57078.41
621,Estonia,Poultry,2282322.25
622,Finland,Poultry,55300.0
623,France,Poultry,9675277.91
624,Germany,Poultry,8823.86
625,Greece,Poultry,1583781.08
626,Hungary,Poultry,1771.73
627,Ireland,Poultry,2531.25
628,Italy,Poultry,23506276.09
629,Latvia,Poultry,134139.01
630,Lithuania,Poultry,1018967.18
631,Luxembourg,Poultry,135.98
632,Malta,Poultry,563362.5
633,Montenegro,Poultry,580026.77
634,Netherlands,Poultry,2701.05
635,North Macedonia,Poultry,46411.55
636,Poland,Poultry,163699.05
637,Portugal,Poultry,99111.34
638,Romania,Poultry,3752081.21
639,Serbia,Poultry,260985.03
640,Slovakia,Poultry,881417.05
641,Slovenia,Poultry,2332.73
642,Spain,Poultry,8393.28
643,Sweden,Poultry,376.93
644,Switzerland,Poultry,9719.63
645,Ukraine,Poultry,82767.55
646,Albania,Bananas,281136.36
647,Austria,Bananas,719.18
648,Belarus,Bananas,3800761.03
649,Belgium,Bananas,5468410.18
650,Bosnia and Herzegovina,Bananas,5546.21
651,Bulgaria,Bananas,6053692.86
652,Croatia,Bananas,119642.24
653,Czechia,Bananas,6230.87
654,Denmark,Bananas,321049.0
655,Estonia,Bananas,11500.0
656,Finland,Bananas,1565250.0
657,France,Bananas,1346992.25
658,Germany,Bananas,298.64
659,Greece,Bananas,1414.77
660,Hungary,Bananas,105278.47
661,Ireland,Bananas,392466.25
662,Italy,Bananas,373289.76
663,Latvia,Bananas,2056.32
664,Lithuania,Bananas,18475099.91
665,Luxembourg,Bananas,5933067.27
666,Malta,Bananas,23066.0
667,Montenegro,Bananas,1527622.0
668,Netherlands,Bananas,17558.08
669,North Macedonia,Bananas,33139.95
670,Poland,Bananas,196799.14
671,Portugal,Bananas,229784.55
672,Romania,Bananas,15.68
673,Serbia,Bananas,8731.31
674,Slovakia,Bananas,5892.73
675,Slovenia,Bananas,15182.59
676,Spain,Bananas,7039634.31
677,Sweden,Bananas,96969.48
678,Switzerland,Bananas,1052536.09
679,Ukraine,Bananas,7538.2
680,Albania,Avocados,3784.26
681,Austria,Avocados,414240.5
682,Belarus,Avocados,87129.04
683,Belgium,Avocados,19088.55
684,Bosnia and Herzegovina,Avocados,14739.61
685,Bulgaria,Avocados,111.95
686,Croatia,Avocados,51893.84
687,Czechia,Avocados,297117.31
688,Denmark,Avocados,209140.43
689,Estonia,Avocados,3603.0
690,Finland,Avocados,2145185.85
691,France,Avocados,17525.26
692,Germany,Avocados,3500.41
693,Greece,Avocados,69728.0
694,Hungary,Avocados,212858.45
695,Ireland,Avocados,84849.75
696,Italy,Avocados,5727.4
697,Latvia,Avocados,140065.0
698,Lithuania,Avocados,30469.55
699,Luxembourg,Avocados,54963.33
700,Malta,Avocados,13543.1
701,Montenegro,Avocados,127060.34
702,Netherlands,Avocados,842228.63
703,North Macedonia,Avocados,84928.53
704,Poland,Avocados,58688.18
705,Portugal,Avocados,65517.48
706,Romania,Avocados,47901.11
707,Serbia,Avocados,12.51
708,Slovakia,Avocados,301643.51
709,Slovenia,Avocados,61032.78
710,Spain,Avocados,57938.8
711,Sweden,Avocados,76972.47
712,Switzerland,Avocados,168338.45
713,Ukraine,Avocados,109610.09
714,Albania,Apples,59566.54
715,Austria,Apples,288728.91
716,Belarus,Apples,378459.64
717,Belgium,Apples,144029.23
718,Bosnia and Herzegovina,Apples,1816088.82
719,Bulgaria,Apples,8622.23
720,Croatia,Apples,24364.79
721,Czechia,Apples,160.31
722,Denmark,Apples,1669692.68
723,Estonia,Apples,36550.0
724,Finland,Apples,3897.5
725,France,Apples,2217.11
726,Germany,Apples,36344.73
727,Greece,Apples,355777.27
728,Hungary,Apples,785361.27
729,Ireland,Apples,959262.0
730,Italy,Apples,29843.23
731,Latvia,Apples,3874261.85
732,Lithuania,Apples,797844.14
733,Luxembourg,Apples,260718.0
734,Malta,Apples,686467.5
735,Montenegro,Apples,28121785.75
736,Netherlands,Apples,804494.96
737,North Macedonia,Apples,1205613.82
738,Poland,Apples,166823.06
739,Portugal,Apples,4527690.55
740,Romania,Apples,165661.81
741,Serbia,Apples,568828.73
742,Slovakia,Apples,894001.38
743,Slovenia,Apples,585440.01
744,Spain,Apples,2379569.68
745,Sweden,Apples,4308445.2
746,Switzerland,Apples,777390.06
747,Ukraine,Apples,26949.31
