Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Bahamas,113,74,28792,13,4990,26,9960,Low Confidence,44,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2049
Bahrain,171,132,216161,13,21026,26,41966,Low Confidence,48,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2229
Bangladesh,84,65,10618233,16,2550080,3,544436,Very Low Confidence,50,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2152
Barbados,113,74,21215,13,3677,26,7339,Low Confidence,52,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2050
Belarus,112,68,646356,16,147838,28,261341,Very Low Confidence,112,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2035
Belgium,80,50,576036,10,112100,20,227371,Medium Confidence,56,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2246
Belize,97,53,20564,16,6106,28,10794,Very Low Confidence,84,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2051
Benin,144,100,1175297,16,184573,28,326280,Very Low Confidence,204,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2177
Bermuda,113,74,4606,13,801,26,1598,Low Confidence,60,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2114
Bhutan,123,79,60000,16,11935,28,21098,Very Low Confidence,64,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2153
Bolivia (Plurin. State of),124,80,922012,16,180068,28,318315,Very Low Confidence,68,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2052
Bosnia and Herzegovina,127,83,273269,16,51628,28,91266,Very Low Confidence,70,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2162
Botswana,136,92,211802,16,36030,28,63693,Very Low Confidence,72,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2178
Brazil,104,60,12578308,16,3300862,28,5835112,Very Low Confidence,76,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2054
British Virgin Islands,113,74,2218,13,384,26,767,Low Confidence,92,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2055
Brunei Darussalam,119,80,34739,13,5551,26,11080,Low Confidence,96,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2140
Bulgaria,112,68,478667,16,109483,28,193539,Very Low Confidence,100,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2036
Burkina Faso,147,103,2086893,16,317831,28,561848,Very Low Confidence,854,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2179
Burundi,147,103,1184127,16,180341,28,318799,Very Low Confidence,108,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2180
Cabo Verde,144,100,54765,16,8601,28,15204,Very Low Confidence,132,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2181
Cambodia,130,86,1423397,16,257853,28,455820,Very Low Confidence,116,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2141
Cameroon,144,100,2577064,16,404713,28,715433,Very Low Confidence,120,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2182
Canada,118,79,2938321,13,479284,26,956615,Low Confidence,124,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2115
Cayman Islands,113,74,4797,13,831,26,1660,Low Confidence,136,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2056
Central African Republic,147,103,487305,16,74216,28,131196,Very Low Confidence,140,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2183
Chad,147,103,1637656,16,249413,28,440901,Very Low Confidence,148,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2184
Chile,113,74,1400946,13,242800,26,484611,Low Confidence,152,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2057
China,126,64,91646213,16,22424705,46,65377741,Very Low Confidence,156,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2028
"China, Hong Kong SAR",110,71,530985,13,95267,26,190147,Low Confidence,344,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2029
"China, Macao SAR",110,71,45728,13,8204,26,16375,Low Confidence,446,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2030
Colombia,114,70,3545499,16,787320,28,1391787,Very Low Confidence,170,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2058
Comoros,144,100,84742,16,13308,28,23526,Very Low Confidence,174,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2185
Congo,144,100,535851,16,84152,28,148760,Very Low Confidence,178,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2186
Costa Rica,116,72,365609,16,78946,28,139556,Very Low Confidence,188,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2059
Côte d’Ivoire,144,100,2561140,16,402212,28,711012,Very Low Confidence,384,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2187
Croatia,123,84,348070,13,52915,26,105613,Low Confidence,191,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2163
Cuba,116,72,820910,16,177259,28,313349,Very Low Confidence,192,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2060
Curaçao,113,74,12079,13,2093,26,4178,Low Confidence,531,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2061
Cyprus,134,95,113306,13,15356,26,30649,Low Confidence,196,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2230
Czechia,109,70,746840,13,136943,26,273327,Low Confidence,203,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2037
Dem. People's Rep. Korea,125,81,2070528,16,401425,28,709621,Very Low Confidence,408,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2031
Dem. Rep. of the Congo,147,103,8912903,16,1357425,28,2399593,Very Low Confidence,180,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2188
Denmark,132,81,469449,30,172003,21,119134,High Confidence,208,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2119
Djibouti,144,100,96962,16,15227,28,26918,Very Low Confidence,262,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2189
Dominica,116,72,5201,16,1123,28,1985,Very Low Confidence,212,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2062
Dominican Republic,116,72,777849,16,167960,28,296913,Very Low Confidence,214,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2063
Ecuador,116,72,1258415,16,271729,28,480349,Very Low Confidence,218,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2064
Egypt,135,91,9136941,16,1570093,28,2775538,Very Low Confidence,818,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2108
El Salvador,124,80,516828,16,100936,28,178430,Very Low Confidence,222,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2065
Equatorial Guinea,136,92,124670,16,21208,28,37491,Very Low Confidence,226,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2190
Eritrea,147,103,359132,16,54695,28,96688,Very Low Confidence,232,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2191
Estonia,100,78,102743,5,6243,17,22013,Medium Confidence,233,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2120
Eswatini,144,100,114341,16,17957,28,31743,Very Low Confidence,748,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2192
Ethiopia,136,92,10327236,16,1752936,28,3098760,Very Low Confidence,231,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2193
Faroe Islands,115,76,3710,13,624,26,1245,Low Confidence,234,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2121
Fiji,120,76,67385,16,13920,28,24607,Very Low Confidence,242,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2095
Finland,101,65,361937,13,70875,23,128927,Low Confidence,246,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2122
France,135,85,5522358,26,1667568,24,1594579,Medium Confidence,250,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2247
French Polynesia,118,79,21978,13,3578,26,7142,Low Confidence,258,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2133
Gabon,136,92,199748,16,33980,28,60068,Very Low Confidence,266,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2194
Gambia,147,103,241095,16,36719,28,64909,Very Low Confidence,270,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2195
Georgia,145,101,403573,16,62511,28,110504,Very Low Confidence,268,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2231
Germany,102,75,6263775,6,498244,21,1718433,High Confidence,276,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2248
Ghana,128,84,2555332,16,475743,28,840996,Very Low Confidence,288,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2196
Gibraltar,123,84,2840,13,432,26,862,Low Confidence,292,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2164
Greece,175,142,1483996,7,77332,26,267812,Medium Confidence,300,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2165
Greenland,113,74,4178,13,726,26,1450,Low Confidence,304,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2116
Grenada,116,72,8112,16,1752,28,3097,Very Low Confidence,308,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2068
Guam,118,79,13165,13,2143,26,4278,Low Confidence,316,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2100
Guatemala,116,72,1273466,16,274979,28,486095,Very Low Confidence,320,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2070
Guinea,147,103,1311530,16,199744,28,353099,Very Low Confidence,324,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2197
Guinea-Bissau,147,103,197266,16,30043,28,53109,Very Low Confidence,624,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2198
Guyana,116,72,56700,16,12243,28,21643,Very Low Confidence,328,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2071
Haiti,127,83,936940,16,176157,28,311403,Very Low Confidence,332,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2072
Honduras,124,80,780504,16,152431,28,269461,Very Low Confidence,340,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2073
Hungary,133,94,908669,13,124074,26,247642,Low Confidence,348,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2038
Iceland,115,76,25827,13,4343,26,8668,Low Confidence,352,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2123
India,94,50,68760163,16,21371087,28,37778821,Very Low Confidence,356,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2154
Indonesia,121,77,20938252,16,4232646,28,7482277,Very Low Confidence,360,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2142
Iran (Islamic Republic of),115,71,5884842,16,1296792,28,2292410,Very Low Confidence,364,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2155
Iraq,164,120,4734434,16,614814,28,1086840,Very Low Confidence,368,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2232
Ireland,124,55,267073,13,62551,56,274135,Low Confidence,372,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2124
Isle of Man,115,76,6445,13,1084,26,2163,Low Confidence,833,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2125
Israel,178,100,848395,51,437997,27,233752,Medium Confidence,376,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2233
Italy,97,67,4059806,4,219552,26,1548291,High Confidence,380,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2167
Jamaica,116,72,213552,16,46112,28,81515,Very Low Confidence,388,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2074
Japan,88,64,8159891,9,1095308,15,1870735,Medium Confidence,392,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2032
Jordan,137,93,939897,16,157993,28,279293,Very Low Confidence,400,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2234
Kazakhstan,120,76,1404584,16,290148,28,512910,Very Low Confidence,398,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2023
Kenya,141,99,5217367,11,576411,31,1637020,Medium Confidence,404,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2199
Kiribati,135,91,10704,16,1839,28,3251,Very Low Confidence,296,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2101
Kuwait,134,95,397706,13,53898,26,107577,Low Confidence,414,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2235
Kyrgyzstan,135,91,583951,16,100346,28,177387,Very Low Confidence,417,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2024
Lao People's Dem. Rep.,130,86,618994,16,112133,28,198223,Very Low Confidence,418,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2143
Latvia,115,76,145263,13,24427,26,48755,Low Confidence,428,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2126
Lebanon,149,105,717491,16,107225,28,189547,Very Low Confidence,422,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2236
Lesotho,144,100,211661,16,33240,28,58760,Very Low Confidence,426,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2200
Liberia,147,103,507043,16,77222,28,136510,Very Low Confidence,430,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2201
Libya,120,76,513146,16,106002,28,187385,Very Low Confidence,434,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2109
Liechtenstein,111,72,2724,13,487,26,972,Low Confidence,438,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2249
Lithuania,115,76,210241,13,35354,26,70564,Low Confidence,440,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2127
Luxembourg,117,89,54951,7,4433,21,12868,Medium Confidence,442,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2250
Madagascar,147,103,2769594,16,421806,28,745649,Very Low Confidence,450,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2202
Malawi,147,103,1913062,16,291357,28,515048,Very Low Confidence,454,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2203
Malaysia,260,91,2921577,79,2518199,90,2861537,Medium Confidence,458,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2144
Maldives,115,71,37688,16,8305,28,14681,Very Low Confidence,462,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2156
Mali,147,103,2018765,16,307456,28,543506,Very Low Confidence,466,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2204
Malta,168,129,56812,13,5642,26,11261,Low Confidence,470,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2168
Marshall Islands,120,76,4452,16,920,28,1626,Very Low Confidence,584,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2102
Mauritania,144,100,450720,16,70783,28,125127,Very Low Confidence,478,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2205
Mauritius,132,93,118626,13,16267,26,32467,Low Confidence,480,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2206
Mexico,138,94,11979364,16,1995310,28,3527217,Very Low Confidence,484,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2076
Micronesia (Fed. States of),135,91,10358,16,1780,28,3146,Very Low Confidence,583,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2103
Monaco,111,72,2795,13,500,26,997,Low Confidence,492,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2251
Mongolia,122,78,250173,16,50443,28,89171,Very Low Confidence,496,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2033
Montenegro,127,83,51988,16,9822,28,17363,Very Low Confidence,499,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2169
Morocco,135,91,3319524,16,570427,28,1008375,Very Low Confidence,504,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2110
Mozambique,147,103,3118416,16,474931,28,839561,Very Low Confidence,508,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2208
Myanmar,130,86,4666125,16,845282,28,1494251,Very Low Confidence,104,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2145
Namibia,136,92,229344,16,39015,28,68968,Very Low Confidence,516,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2209
Nauru,118,79,850,13,138,26,276,Low Confidence,520,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2104
Nepal,123,79,2249412,16,447447,28,790975,Very Low Confidence,524,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2157
Netherlands,87,50,854855,11,188068,26,437180,Medium Confidence,528,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2252
New Caledonia,118,79,22254,13,3623,26,7231,Low Confidence,540,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2096
New Zealand,90,61,291769,3,14923,26,122306,High Confidence,554,Australia and New Zealand,https://www.unep.org/resources/report/unep-food-waste-index-report-2022
Nicaragua,124,80,524188,16,102373,28,180970,Very Low Confidence,558,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2078
Niger,147,103,2393877,16,364585,28,644496,Very Low Confidence,562,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2210
Nigeria,233,189,37941470,16,3143117,28,5556257,Very Low Confidence,566,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2211
North Macedonia,127,83,172480,16,32586,28,57605,Very Low Confidence,807,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2170
Northern Mariana Islands,118,79,4501,13,733,26,1463,Low Confidence,580,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2105
Norway,98,79,423857,14,74088,5,26685,Medium Confidence,578,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2128
Oman,134,95,470297,13,63736,26,127213,Low Confidence,512,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2237
Pakistan,118,74,15947645,16,3387131,28,5987614,Very Low Confidence,586,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2158
Palau,118,79,1416,13,231,26,460,Low Confidence,585,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2106
Panama,113,74,313897,13,54402,26,108582,Low Confidence,591,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2079
Papua New Guinea,135,91,798767,16,137260,28,242642,Very Low Confidence,598,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2097
Paraguay,116,72,510256,16,110179,28,194770,Very Low Confidence,600,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2080
Peru,116,72,2354806,16,508472,28,898853,Very Low Confidence,604,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2081
Philippines,130,86,9334477,16,1690968,28,2989216,Very Low Confidence,608,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2146
Poland,95,56,2119455,13,485392,26,968807,Low Confidence,616,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2039
Portugal,123,84,861786,13,131011,26,261488,Low Confidence,620,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2171
Puerto Rico,113,74,216839,13,37581,26,75008,Low Confidence,630,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2082
Qatar,134,95,267724,13,36283,26,72418,Low Confidence,634,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2238
Republic of Korea,110,71,3657764,13,656263,26,1309852,Low Confidence,410,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2034
Republic of Moldova,120,76,307419,16,63238,28,111789,Very Low Confidence,498,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2040
Romania,109,70,1352979,13,248086,26,495161,Low Confidence,642,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2041
Russian Federation,75,33,4868564,14,2001062,28,4033088,Medium Confidence,643,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2042
Rwanda,208,164,2075405,16,197489,28,349112,Very Low Confidence,646,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2213
Saint Kitts and Nevis,113,74,3903,13,676,26,1350,Low Confidence,659,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2084
Saint Lucia,116,72,13241,16,2859,28,5054,Very Low Confidence,662,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2085
Saint Martin (French part),113,74,2809,13,487,26,972,Low Confidence,663,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2086
Saint Vincent & Grenadines,116,72,8011,16,1730,28,3058,Very Low Confidence,670,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2087
Samoa,120,76,14923,16,3083,28,5449,Very Low Confidence,882,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2135
San Marino,123,84,2857,13,434,26,867,Low Confidence,674,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2172
Sao Tome and Principe,144,100,21422,16,3364,28,5947,Very Low Confidence,678,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2215
Saudi Arabia,151,105,3594080,20,673502,26,876260,High Confidence,682,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2239
Senegal,144,100,1622980,16,254879,28,450564,Very Low Confidence,686,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2216
Serbia,105,83,726196,16,137199,6,52633,Very Low Confidence,688,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2173
Seychelles,132,93,9128,13,1252,26,2498,Low Confidence,690,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2217
Sierra Leone,147,103,802371,16,122200,28,216020,Very Low Confidence,694,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2218
Singapore,119,80,465355,13,74361,26,148418,Low Confidence,702,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2147
Sint Maarten (Dutch part),113,74,3134,13,543,26,1084,Low Confidence,534,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2088
Slovakia,109,70,381273,13,69911,26,139538,Low Confidence,703,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2043
Slovenia,61,34,71107,7,13910,20,41741,Medium Confidence,705,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2174
Solomon Islands,135,91,60963,16,10476,28,18519,Very Low Confidence,90,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2098
Somalia,147,103,1585898,16,241530,28,426966,Very Low Confidence,706,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2219
South Africa,84,40,2329228,16,915865,28,1619024,Very Low Confidence,710,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2220
South Sudan,147,103,1136015,16,173014,28,305846,Very Low Confidence,728,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2221
Spain,116,77,3613954,13,598760,26,1195080,Low Confidence,724,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2175
Sri Lanka,120,76,1617738,16,333508,28,589559,Very Low Confidence,144,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2159
State of Palestine,145,101,501602,16,77910,28,137726,Very Low Confidence,275,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2240
Sudan,141,97,4162396,16,669608,28,1183703,Very Low Confidence,729,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2111
Suriname,116,72,42112,16,9093,28,16075,Very Low Confidence,740,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2089
Sweden,112,81,812948,10,100364,21,205746,High Confidence,752,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2129
Switzerland,125,72,615790,13,110067,40,343656,Low Confidence,756,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2253
Syrian Arab Republic,148,104,1771842,16,266980,28,471955,Very Low Confidence,760,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2241
Tajikistan,141,97,906209,16,145783,28,257708,Very Low Confidence,762,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2025
Thailand,123,79,5478532,16,1088960,28,1925014,Very Low Confidence,764,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2148
