country,"Food product","Production Kg","World Emissions per kg","Total emissiones per country vs product","AVG(`Total emissiones per country vs product`) OVER(partition by `Food product`)"
Luxembourg,Rice,8983269950,4,35933079800,37128459331.76471
Bulgaria,Rice,26445990,4,105783960,37128459331.76471
"Bosnia and Herzegovina",Rice,5862398730,4,23449594920,37128459331.76471
Ireland,Rice,74957750,4,299831000,37128459331.76471
Malta,Rice,195091500,4,780366000,37128459331.76471
Croatia,Rice,1635571150,4,6542284600,37128459331.76471
Greece,Sunflower,5614270,3.5,19649945,4458845388.529411
Montenegro,Sunflower,41035720,3.5,143625020,4458845388.529411
"North Macedonia",Sunflower,287678530,3.5,1006874855,4458845388.529411
Latvia,Sunflower,16918435250,3.5,59214523375,4458845388.529411
Romania,Sunflower,35848970,3.5,125471395,4458845388.529411
"Bosnia and Herzegovina",Sunflower,1506528140,3.5,5272848490,4458845388.529411
Poland,Sunflower,311005920,3.5,1088520720,4458845388.529411
Bulgaria,Sunflower,131902040.00000001,3.5,461657140.00000006,4458845388.529411
Estonia,Sunflower,114878500,3.5,402074750,4458845388.529411
Czechia,Sunflower,39707000,3.5,138974500,4458845388.529411
Finland,Sunflower,112343000,3.5,393200500,4458845388.529411
Belgium,Sunflower,1188598450,3.5,4160094575,4458845388.529411
Denmark,Sunflower,687239470,3.5,2405338145,4458845388.529411
Germany,Sunflower,1627832320,3.5,5697413120,4458845388.529411
Netherlands,Sunflower,49459110,3.5,173106885,4458845388.529411
Austria,Sunflower,10703140,3.5,37460990,4458845388.529411
Ireland,Sunflower,10726080,3.5,37541280,4458845388.529411
Luxembourg,Sunflower,1014226880,3.5,3549794080,4458845388.529411
Sweden,Sunflower,988458400,3.5,3459604400,4458845388.529411
Slovenia,Sunflower,2643056150,3.5,9250696525,4458845388.529411
Malta,Sunflower,6640016650,3.5,23240058275,4458845388.529411
France,Sunflower,11034450,3.5,38620575,4458845388.529411
Hungary,Sunflower,11706180,3.5,40971630,4458845388.529411
Serbia,Sunflower,15487500,3.5,54206250,4458845388.529411
Italy,Sunflower,2999138640,3.5,10496985240,4458845388.529411
Belarus,Sunflower,459579000,3.5,1608526500,4458845388.529411
Croatia,Sunflower,232161780,3.5,812566230,4458845388.529411
Portugal,Sunflower,95693590,3.5,334927565,4458845388.529411
Ukraine,Sunflower,13001580,3.5,45505530,4458845388.529411
Spain,Sunflower,886279390,3.5,3101977865,4458845388.529411
Lithuania,Sunflower,457414780,3.5,1600951730,4458845388.529411
Albania,Sunflower,1956860,3.5,6849010,4458845388.529411
Switzerland,Sunflower,455556560,3.5,1594447960,4458845388.529411
Slovakia,Sunflower,3310193760,3.5,11585678160,4458845388.529411
Albania,Cane,867129471360,2.6,2254536625536,122065197574.41176
Serbia,Cane,23973416080,2.6,62330881808,122065197574.41176
Malta,Cane,0,2.6,0,122065197574.41176
France,Cane,5550623180,2.6,14431620268,122065197574.41176
Finland,Cane,641700000,2.6,1668420000,122065197574.41176
Ireland,Cane,174450000,2.6,453570000,122065197574.41176
Latvia,Cane,24962066000,2.6,64901371600,122065197574.41176
Ukraine,Cane,2116702759.9999998,2.6,5503427176,122065197574.41176
Poland,Cane,3374986110,2.6,8774963886,122065197574.41176
"Bosnia and Herzegovina",Cane,5197441000,2.6,13513346600,122065197574.41176
Greece,Cane,127021794910,2.6,330256666766,122065197574.41176
Lithuania,Cane,4906191500,2.6,12756097900,122065197574.41176
Slovenia,Cane,3839217610,2.6,9981965786,122065197574.41176
Montenegro,Cane,18311704620,2.6,47610432012,122065197574.41176
Croatia,Cane,330192060,2.6,858499356,122065197574.41176
Denmark,Cane,3499180,2.6,9097868,122065197574.41176
Sweden,Cane,962486950,2.6,2502466070,122065197574.41176
Czechia,Cane,83182510,2.6,216274526,122065197574.41176
Germany,Cane,31545450,2.6,82018170,122065197574.41176
Austria,Cane,1047138550,2.6,2722560230,122065197574.41176
Italy,Cane,123134864550,2.6,320150647830,122065197574.41176
Spain,Cane,15790326560,2.6,41054849056,122065197574.41176
Switzerland,Cane,92598134630,2.6,240755150038,122065197574.41176
Belarus,Cane,367045450,2.6,954318170,122065197574.41176
Netherlands,Cane,71132510,2.6,184944526,122065197574.41176
Belgium,Cane,471026170,2.6,1224668042,122065197574.41176
Bulgaria,Cane,64821603270,2.6,168536168502,122065197574.41176
Luxembourg,Cane,37840360,2.6,98384936,122065197574.41176
Romania,Cane,60571600300,2.6,157486160780,122065197574.41176
Portugal,Cane,37980756850,2.6,98749967810,122065197574.41176
Hungary,Cane,48006991360,2.6,124818177536,122065197574.41176
Estonia,Cane,57408433500,2.6,149261927100,122065197574.41176
"North Macedonia",Cane,1312771680,2.6,3413206368,122065197574.41176
Slovakia,Cane,4006862030,2.6,10417841278,122065197574.41176
Ireland,Tomatoes,5435000,1.4,7608999.999999999,3565827918.470588
Serbia,Tomatoes,553286860,1.4,774601604,3565827918.470588
Germany,Tomatoes,2377000,1.4,3327800,3565827918.470588
Romania,Tomatoes,85447860,1.4,119627003.99999999,3565827918.470588
Italy,Tomatoes,501101760,1.4,701542464,3565827918.470588
Netherlands,Tomatoes,65564330,1.4,91790062,3565827918.470588
Denmark,Tomatoes,155035720,1.4,217050008,3565827918.470588
Hungary,Tomatoes,4044064200,1.4,5661689880,3565827918.470588
Bulgaria,Tomatoes,62657700,1.4,87720780,3565827918.470588
Ukraine,Tomatoes,4040203420,1.4,5656284788,3565827918.470588
Estonia,Tomatoes,19870864500,1.4,27819210300,3565827918.470588
Croatia,Tomatoes,23992040,1.4,33588856,3565827918.470588
Slovakia,Tomatoes,4729631270,1.4,6621483778,3565827918.470588
Lithuania,Tomatoes,27242871000,1.4,38140019400,3565827918.470588
Malta,Tomatoes,2699000,1.4,3778599.9999999995,3565827918.470588
Luxembourg,Tomatoes,24035970,1.4,33650358,3565827918.470588
Greece,Tomatoes,2404270,1.4,3365978,3565827918.470588
France,Tomatoes,67598820,1.4,94638348,3565827918.470588
Portugal,Tomatoes,1268893700,1.4,1776451180,3565827918.470588
Slovenia,Tomatoes,3653208000,1.4,5114491200,3565827918.470588
Belgium,Tomatoes,248585470,1.4,348019658,3565827918.470588
Latvia,Tomatoes,1978620,1.4,2770068,3565827918.470588
Montenegro,Tomatoes,16323429560,1.4,22852801384,3565827918.470588
Sweden,Tomatoes,137328500,1.4,192259900,3565827918.470588
"North Macedonia",Tomatoes,151088410,1.4,211523774,3565827918.470588
Austria,Tomatoes,7423140,1.4,10392396,3565827918.470588
"Bosnia and Herzegovina",Tomatoes,956698770,1.4,1339378278,3565827918.470588
Finland,Tomatoes,418440,1.4,585816,3565827918.470588
Czechia,Tomatoes,1178480,1.4,1649872,3565827918.470588
Switzerland,Tomatoes,161832820,1.4,226565948,3565827918.470588
Poland,Tomatoes,1050780179.9999999,1.4,1471092251.9999998,3565827918.470588
Albania,Tomatoes,865398570,1.4,1211557998,3565827918.470588
Spain,Tomatoes,101453280,1.4,142034592,3565827918.470588
Belarus,Tomatoes,189711360,1.4,265595903.99999997,3565827918.470588
Montenegro,Wheat,1496615120,1.4,2095261167.9999998,34823665016.82353
Denmark,Wheat,35291603550,1.4,49408244970,34823665016.82353
Belgium,Wheat,269815330,1.4,377741462,34823665016.82353
Romania,Wheat,29111892000,1.4,40756648800,34823665016.82353
Czechia,Wheat,112047500360,1.4,156866500504,34823665016.82353
Netherlands,Wheat,120269090,1.4,168376726,34823665016.82353
Ireland,Wheat,1460690,1.4,2044965.9999999998,34823665016.82353
Albania,Wheat,275413180,1.4,385578452,34823665016.82353
Slovakia,Wheat,24200356700,1.4,33880499379.999996,34823665016.82353
Belarus,Wheat,169374200,1.4,237123879.99999997,34823665016.82353
Germany,Wheat,141802950,1.4,198524130,34823665016.82353
Ukraine,Wheat,2986661820,1.4,4181326547.9999995,34823665016.82353
Luxembourg,Wheat,18382201910,1.4,25735082674,34823665016.82353
Malta,Wheat,4504884250,1.4,6306837950,34823665016.82353
France,Wheat,35124344730,1.4,49174082622,34823665016.82353
Portugal,Wheat,910170680,1.4,1274238952,34823665016.82353
Austria,Wheat,451853860,1.4,632595404,34823665016.82353
Estonia,Wheat,602000000,1.4,842800000,34823665016.82353
Spain,Wheat,3728062440,1.4,5219287416,34823665016.82353
"Bosnia and Herzegovina",Wheat,7293810260,1.4,10211334364,34823665016.82353
Lithuania,Wheat,10788001680,1.4,15103202351.999998,34823665016.82353
Hungary,Wheat,744943730,1.4,1042921221.9999999,34823665016.82353
Poland,Wheat,236931598860,1.4,331704238404,34823665016.82353
Switzerland,Wheat,39443893420,1.4,55221450788,34823665016.82353
Sweden,Wheat,16161200,1.4,22625680,34823665016.82353
"North Macedonia",Wheat,644971180,1.4,902959652,34823665016.82353
Serbia,Wheat,3970038360,1.4,5558053704,34823665016.82353
Bulgaria,Wheat,3328730,1.4,4660222,34823665016.82353
Slovenia,Wheat,37206126240,1.4,52088576736,34823665016.82353
Italy,Wheat,3550550,1.4,4970770,34823665016.82353
Latvia,Wheat,86327611000,1.4,120858655399.99998,34823665016.82353
Greece,Wheat,80257619640,1.4,112360667496,34823665016.82353
Croatia,Wheat,70768008270,1.4,99075211578,34823665016.82353
Finland,Wheat,1501633000,1.4,2102286199.9999998,34823665016.82353
Bulgaria,Berries,51875970,1.1,57063567.00000001,2500430462.9117646
France,Berries,273028950,1.1,300331845,2500430462.9117646
Belgium,Berries,441226180,1.1,485348798.00000006,2500430462.9117646
Latvia,Berries,16328180000,1.1,17960998000,2500430462.9117646
Slovenia,Berries,511589590,1.1,562748549,2500430462.9117646
Malta,Berries,19827425000,1.1,21810167500,2500430462.9117646
Croatia,Berries,706891360,1.1,777580496.0000001,2500430462.9117646
Slovakia,Berries,708257500,1.1,779083250.0000001,2500430462.9117646
Austria,Berries,8045450,1.1,8849995,2500430462.9117646
"North Macedonia",Berries,203252320,1.1,223577552.00000003,2500430462.9117646
Poland,Berries,9585667930,1.1,10544234723,2500430462.9117646
Belarus,Berries,1017700910,1.1,1119471001,2500430462.9117646
Ukraine,Berries,41515220,1.1,45666742,2500430462.9117646
Albania,Berries,160889320,1.1,176978252,2500430462.9117646
Sweden,Berries,1136886000,1.1,1250574600,2500430462.9117646
Denmark,Berries,144862230,1.1,159348453,2500430462.9117646
Italy,Berries,19809590,1.1,21790549,2500430462.9117646
Lithuania,Berries,87217910,1.1,95939701.00000001,2500430462.9117646
Spain,Berries,1368251660,1.1,1505076826.0000002,2500430462.9117646
Romania,Berries,1422543330,1.1,1564797663.0000002,2500430462.9117646
Serbia,Berries,1422944700,1.1,1565239170.0000002,2500430462.9117646
Estonia,Berries,0,1.1,0,2500430462.9117646
Czechia,Berries,1654092730,1.1,1819502003.0000002,2500430462.9117646
"Bosnia and Herzegovina",Berries,7423006950,1.1,8165307645.000001,2500430462.9117646
Switzerland,Berries,1703823740,1.1,1874206114.0000002,2500430462.9117646
Greece,Berries,1945967410,1.1,2140564151.0000002,2500430462.9117646
Netherlands,Berries,2007045290,1.1,2207749819,2500430462.9117646
Luxembourg,Berries,2339622730,1.1,2573585003,2500430462.9117646
Hungary,Berries,83375590,1.1,91713149,2500430462.9117646
Montenegro,Berries,28962500,1.1,31858750.000000004,2500430462.9117646
Germany,Berries,4118473590,1.1,4530320949,2500430462.9117646
Finland,Berries,41312000,1.1,45443200,2500430462.9117646
Portugal,Berries,62881840,1.1,69170024,2500430462.9117646
Ireland,Berries,409407000,1.1,450347700.00000006,2500430462.9117646
Netherlands,Maize,183253770,1.1,201579147.00000003,2935985085.970588
Slovakia,Maize,1109350410,1.1,1220285451,2935985085.970588
Malta,Maize,0,1.1,0,2935985085.970588
Montenegro,Maize,2779930,1.1,3057923.0000000005,2935985085.970588
Poland,Maize,3038115320,1.1,3341926852.0000005,2935985085.970588
Croatia,Maize,1904827090,1.1,2095309799.0000002,2935985085.970588
Luxembourg,Maize,1844910,1.1,2029401.0000000002,2935985085.970588
Latvia,Maize,0,1.1,0,2935985085.970588
Ireland,Maize,0,1.1,0,2935985085.970588
"North Macedonia",Maize,138833050,1.1,152716355,2935985085.970588
Finland,Maize,0,1.1,0,2935985085.970588
Switzerland,Maize,164999270,1.1,181499197,2935985085.970588
Hungary,Maize,7203400090,1.1,7923740099.000001,2935985085.970588
Lithuania,Maize,54459020,1.1,59904922.00000001,2935985085.970588
"Bosnia and Herzegovina",Maize,888084050,1.1,976892455.0000001,2935985085.970588
Sweden,Maize,10825000,1.1,11907500.000000002,2935985085.970588
Bulgaria,Maize,2110071900,1.1,2321079090,2935985085.970588
Slovenia,Maize,320569770,1.1,352626747,2935985085.970588
Belarus,Maize,568767270,1.1,625643997,2935985085.970588
Italy,Maize,8507013590,1.1,9357714949,2935985085.970588
Spain,Maize,4152612820,1.1,4567874102,2935985085.970588
Germany,Maize,4154681320,1.1,4570149452,2935985085.970588
Albania,Maize,308651080,1.1,339516188,2935985085.970588
Belgium,Maize,605323230,1.1,665855553,2935985085.970588
Serbia,Maize,6160645590,1.1,6776710149.000001,2935985085.970588
Estonia,Maize,0,1.1,0,2935985085.970588
Czechia,Maize,689296380,1.1,758226018.0000001,2935985085.970588
France,Maize,14676819050,1.1,16144500955.000002,2935985085.970588
Denmark,Maize,28200450,1.1,31020495.000000004,2935985085.970588
Greece,Maize,2018665880,1.1,2220532468,2935985085.970588
Romania,Maize,10486302820,1.1,11534933102,2935985085.970588
Ukraine,Maize,18441280910,1.1,20285409001,2935985085.970588
Portugal,Maize,750151860,1.1,825167046.0000001,2935985085.970588
Austria,Maize,2068804100,1.1,2275684510,2935985085.970588
Spain,Cassava,134444190,0.9,120999771,1993120005.1764705
Ireland,Cassava,3116060,0.9,2804454,1993120005.1764705
Ukraine,Cassava,139463040,0.9,125516736,1993120005.1764705
"Bosnia and Herzegovina",Cassava,4910270,0.9,4419243,1993120005.1764705
Hungary,Cassava,2362670,0.9,2126403,1993120005.1764705
Switzerland,Cassava,1206291620,0.9,1085662458,1993120005.1764705
Montenegro,Cassava,9130380,0.9,8217342,1993120005.1764705
Germany,Cassava,115293500,0.9,103764150,1993120005.1764705
Luxembourg,Cassava,194240790,0.9,174816711,1993120005.1764705
Albania,Cassava,1116214550,0.9,1004593095,1993120005.1764705
Belgium,Cassava,316950,0.9,285255,1993120005.1764705
Finland,Cassava,9435500,0.9,8491950,1993120005.1764705
Estonia,Cassava,236042900,0.9,212438610,1993120005.1764705
Latvia,Cassava,250230,0.9,225207,1993120005.1764705
Czechia,Cassava,1005446220,0.9,904901598,1993120005.1764705
Sweden,Cassava,87249100,0.9,78524190,1993120005.1764705
Austria,Cassava,198910,0.9,179019,1993120005.1764705
Italy,Cassava,13034630,0.9,11731167,1993120005.1764705
Slovakia,Cassava,870458420,0.9,783412578,1993120005.1764705
Slovenia,Cassava,867722310,0.9,780950079,1993120005.1764705
Denmark,Cassava,86618450,0.9,77956605,1993120005.1764705
Serbia,Cassava,76900610,0.9,69210549,1993120005.1764705
Croatia,Cassava,70678180,0.9,63610362,1993120005.1764705
Malta,Cassava,66828750,0.9,60145875,1993120005.1764705
Belarus,Cassava,426191950,0.9,383572755,1993120005.1764705
Lithuania,Cassava,440315180,0.9,396283662,1993120005.1764705
Greece,Cassava,21282030,0.9,19153827,1993120005.1764705
Poland,Cassava,65124049910,0.9,58611644919,1993120005.1764705
Romania,Cassava,530616160.00000006,0.9,477554544.00000006,1993120005.1764705
Netherlands,Cassava,2269593590,0.9,2042634231,1993120005.1764705
Portugal,Cassava,66846289.99999999,0.9,60161660.99999999,1993120005.1764705
"North Macedonia",Cassava,28069910,0.9,25262919,1993120005.1764705
Bulgaria,Cassava,42122460,0.9,37910214,1993120005.1764705
France,Cassava,29908930,0.9,26918037,1993120005.1764705
Portugal,Bananas,229784550,0.8,183827640,1282785216
Spain,Bananas,7039634310,0.8,5631707448,1282785216
Bulgaria,Bananas,6053692860,0.8,4842954288,1282785216
Sweden,Bananas,96969480,0.8,77575584,1282785216
Luxembourg,Bananas,5933067270,0.8,4746453816,1282785216
Hungary,Bananas,105278470,0.8,84222776,1282785216
Belgium,Bananas,5468410180,0.8,4374728144,1282785216
Belarus,Bananas,3800761030,0.8,3040608824,1282785216
Croatia,Bananas,119642240,0.8,95713792,1282785216
Romania,Bananas,15680,0.8,12544,1282785216
"North Macedonia",Bananas,33139949.999999996,0.8,26511960,1282785216
Germany,Bananas,298640,0.8,238912,1282785216
Poland,Bananas,196799140,0.8,157439312,1282785216
Finland,Bananas,1565250000,0.8,1252200000,1282785216
Malta,Bananas,23066000,0.8,18452800,1282785216
Netherlands,Bananas,17558080,0.8,14046464,1282785216
Montenegro,Bananas,1527622000,0.8,1222097600,1282785216
Austria,Bananas,719180,0.8,575344,1282785216
Slovenia,Bananas,15182590,0.8,12146072,1282785216
France,Bananas,1346992250,0.8,1077593800,1282785216
Albania,Bananas,281136360,0.8,224909088,1282785216
Estonia,Bananas,11500000,0.8,9200000,1282785216
Switzerland,Bananas,1052536090.0000001,0.8,842028872.0000001,1282785216
Serbia,Bananas,8731310,0.8,6985048,1282785216
Ukraine,Bananas,7538200,0.8,6030560,1282785216
Denmark,Bananas,321049000,0.8,256839200,1282785216
Greece,Bananas,1414770,0.8,1131816,1282785216
Czechia,Bananas,6230870,0.8,4984696,1282785216
Slovakia,Bananas,5892730,0.8,4714184,1282785216
Italy,Bananas,373289760,0.8,298631808,1282785216
Latvia,Bananas,2056320.0000000002,0.8,1645056.0000000002,1282785216
Lithuania,Bananas,18475099910,0.8,14780079928,1282785216
Ireland,Bananas,392466250,0.8,313973000,1282785216
"Bosnia and Herzegovina",Bananas,5546210,0.8,4436968,1282785216
Croatia,Peas,285030770,0.8,228024616,323397756.2352941
Lithuania,Peas,629861270,0.8,503889016,323397756.2352941
Ukraine,Peas,195646450,0.8,156517160,323397756.2352941
Estonia,Peas,249558490,0.8,199646792,323397756.2352941
Switzerland,Peas,1334467780,0.8,1067574224,323397756.2352941
